Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hemovida,Chrome 72.0.3626.96,,2019-02-11 12:37:15,2019-02-11 12:37:41,25.419s,ERROR
,,,,,,
Test Cases/Login,Chrome 72.0.3626.96,,2019-02-11 12:37:16,2019-02-11 12:37:40,24.829s,ERROR
"openBrowser(""http://hemovida.desenvolvimento.saude.gov/"")",Chrome 72.0.3626.96,,2019-02-11 12:37:16,2019-02-11 12:37:40,24.259s,PASSED
driver = getWebDriver(),Chrome 72.0.3626.96,,2019-02-11 12:37:40,2019-02-11 12:37:40,0.018s,PASSED
"baseUrl = ""http://hemovida.desenvolvimento.saude.gov/""",Chrome 72.0.3626.96,,2019-02-11 12:37:40,2019-02-11 12:37:40,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 72.0.3626.96,,2019-02-11 12:37:40,2019-02-11 12:37:40,0.068s,PASSED
"selenium.click(""//a[4]/img"")",Chrome 72.0.3626.96,,2019-02-11 12:37:40,2019-02-11 12:37:40,0.071s,ERROR
