2019-02-14 21:12:58 status unpacked libjs-node-uuid:all 1.4.0-1
2019-02-14 21:12:58 status unpacked libjs-node-uuid:all 1.4.0-1
2019-02-14 21:12:59 install libjs-underscore:all <none> 1.7.0~dfsg-1
2019-02-14 21:12:59 status half-installed libjs-underscore:all 1.7.0~dfsg-1
2019-02-14 21:12:59 status unpacked libjs-underscore:all 1.7.0~dfsg-1
2019-02-14 21:12:59 status unpacked libjs-underscore:all 1.7.0~dfsg-1
2019-02-14 21:13:00 install libv8-3.14.5:amd64 <none> 3.14.5.8-8.1
2019-02-14 21:13:00 status half-installed libv8-3.14.5:amd64 3.14.5.8-8.1
2019-02-14 21:13:00 status unpacked libv8-3.14.5:amd64 3.14.5.8-8.1
2019-02-14 21:13:00 status unpacked libv8-3.14.5:amd64 3.14.5.8-8.1
2019-02-14 21:13:01 install libv8-3.14-dev:amd64 <none> 3.14.5.8-8.1
2019-02-14 21:13:01 status half-installed libv8-3.14-dev:amd64 3.14.5.8-8.1
2019-02-14 21:13:01 status unpacked libv8-3.14-dev:amd64 3.14.5.8-8.1
2019-02-14 21:13:02 status unpacked libv8-3.14-dev:amd64 3.14.5.8-8.1
2019-02-14 21:13:02 install nodejs:amd64 <none> 0.10.29~dfsg-2
2019-02-14 21:13:02 status half-installed nodejs:amd64 0.10.29~dfsg-2
2019-02-14 21:13:03 status unpacked nodejs:amd64 0.10.29~dfsg-2
2019-02-14 21:13:03 status unpacked nodejs:amd64 0.10.29~dfsg-2
2019-02-14 21:13:03 install node-async:all <none> 0.8.0-1
2019-02-14 21:13:03 status half-installed node-async:all 0.8.0-1
2019-02-14 21:13:04 status unpacked node-async:all 0.8.0-1
2019-02-14 21:13:04 status unpacked node-async:all 0.8.0-1
2019-02-14 21:13:04 install node-node-uuid:all <none> 1.4.0-1
2019-02-14 21:13:04 status half-installed node-node-uuid:all 1.4.0-1
2019-02-14 21:13:04 status unpacked node-node-uuid:all 1.4.0-1
2019-02-14 21:13:05 status unpacked node-node-uuid:all 1.4.0-1
2019-02-14 21:13:05 install node-underscore:all <none> 1.7.0~dfsg-1
2019-02-14 21:13:05 status half-installed node-underscore:all 1.7.0~dfsg-1
2019-02-14 21:13:05 status unpacked node-underscore:all 1.7.0~dfsg-1
2019-02-14 21:13:05 status unpacked node-underscore:all 1.7.0~dfsg-1
2019-02-14 21:13:06 install libc-ares-dev:amd64 <none> 1.10.0-2+deb8u2
2019-02-14 21:13:06 status half-installed libc-ares-dev:amd64 1.10.0-2+deb8u2
2019-02-14 21:13:06 status unpacked libc-ares-dev:amd64 1.10.0-2+deb8u2
2019-02-14 21:13:06 status unpacked libc-ares-dev:amd64 1.10.0-2+deb8u2
2019-02-14 21:13:07 install node-abbrev:all <none> 1.0.5-2
2019-02-14 21:13:07 status half-installed node-abbrev:all 1.0.5-2
2019-02-14 21:13:07 status unpacked node-abbrev:all 1.0.5-2
2019-02-14 21:13:07 status unpacked node-abbrev:all 1.0.5-2
2019-02-14 21:13:08 install node-ansi:all <none> 0.3.0-2
2019-02-14 21:13:08 status half-installed node-ansi:all 0.3.0-2
2019-02-14 21:13:08 status unpacked node-ansi:all 0.3.0-2
2019-02-14 21:13:08 status unpacked node-ansi:all 0.3.0-2
2019-02-14 21:13:09 install node-ansi-color-table:all <none> 1.0.0-1
2019-02-14 21:13:09 status half-installed node-ansi-color-table:all 1.0.0-1
2019-02-14 21:13:09 status unpacked node-ansi-color-table:all 1.0.0-1
2019-02-14 21:13:09 status unpacked node-ansi-color-table:all 1.0.0-1
2019-02-14 21:13:09 install node-archy:all <none> 0.0.2-1
2019-02-14 21:13:09 status half-installed node-archy:all 0.0.2-1
2019-02-14 21:13:10 status unpacked node-archy:all 0.0.2-1
2019-02-14 21:13:10 status unpacked node-archy:all 0.0.2-1
2019-02-14 21:13:10 install node-inherits:all <none> 2.0.1-1
2019-02-14 21:13:10 status half-installed node-inherits:all 2.0.1-1
2019-02-14 21:13:10 status unpacked node-inherits:all 2.0.1-1
2019-02-14 21:13:10 status unpacked node-inherits:all 2.0.1-1
2019-02-14 21:13:11 install node-block-stream:all <none> 0.0.7-1
2019-02-14 21:13:11 status half-installed node-block-stream:all 0.0.7-1
2019-02-14 21:13:11 status unpacked node-block-stream:all 0.0.7-1
2019-02-14 21:13:11 status unpacked node-block-stream:all 0.0.7-1
2019-02-14 21:13:12 install node-delayed-stream:all <none> 0.0.5-1
2019-02-14 21:13:12 status half-installed node-delayed-stream:all 0.0.5-1
2019-02-14 21:13:12 status unpacked node-delayed-stream:all 0.0.5-1
2019-02-14 21:13:12 status unpacked node-delayed-stream:all 0.0.5-1
2019-02-14 21:13:13 install node-combined-stream:all <none> 0.0.5-1
2019-02-14 21:13:13 status half-installed node-combined-stream:all 0.0.5-1
2019-02-14 21:13:13 status unpacked node-combined-stream:all 0.0.5-1
2019-02-14 21:13:13 status unpacked node-combined-stream:all 0.0.5-1
2019-02-14 21:13:14 install node-cookie-jar:all <none> 0.3.1-1
2019-02-14 21:13:14 status half-installed node-cookie-jar:all 0.3.1-1
2019-02-14 21:13:14 status unpacked node-cookie-jar:all 0.3.1-1
2019-02-14 21:13:14 status unpacked node-cookie-jar:all 0.3.1-1
2019-02-14 21:13:15 install node-forever-agent:all <none> 0.5.1-1
2019-02-14 21:13:15 status half-installed node-forever-agent:all 0.5.1-1
2019-02-14 21:13:15 status unpacked node-forever-agent:all 0.5.1-1
2019-02-14 21:13:15 status unpacked node-forever-agent:all 0.5.1-1
2019-02-14 21:13:15 install node-mime:all <none> 1.2.11-1
2019-02-14 21:13:15 status half-installed node-mime:all 1.2.11-1
2019-02-14 21:13:16 status unpacked node-mime:all 1.2.11-1
2019-02-14 21:13:16 status unpacked node-mime:all 1.2.11-1
2019-02-14 21:13:16 install node-form-data:all <none> 0.1.0-1
2019-02-14 21:13:16 status half-installed node-form-data:all 0.1.0-1
2019-02-14 21:13:17 status unpacked node-form-data:all 0.1.0-1
2019-02-14 21:13:17 status unpacked node-form-data:all 0.1.0-1
2019-02-14 21:13:17 install node-rimraf:all <none> 2.2.8-1
2019-02-14 21:13:17 status half-installed node-rimraf:all 2.2.8-1
2019-02-14 21:13:17 status unpacked node-rimraf:all 2.2.8-1
2019-02-14 21:13:18 status unpacked node-rimraf:all 2.2.8-1
2019-02-14 21:13:18 install node-mkdirp:all <none> 0.5.0-1
2019-02-14 21:13:18 status half-installed node-mkdirp:all 0.5.0-1
2019-02-14 21:13:18 status unpacked node-mkdirp:all 0.5.0-1
2019-02-14 21:13:18 status unpacked node-mkdirp:all 0.5.0-1
2019-02-14 21:13:19 install node-graceful-fs:all <none> 3.0.2-1
2019-02-14 21:13:19 status half-installed node-graceful-fs:all 3.0.2-1
2019-02-14 21:13:19 status unpacked node-graceful-fs:all 3.0.2-1
2019-02-14 21:13:19 status unpacked node-graceful-fs:all 3.0.2-1
2019-02-14 21:13:20 install node-fstream:all <none> 0.1.24-1
2019-02-14 21:13:20 status half-installed node-fstream:all 0.1.24-1
2019-02-14 21:13:20 status unpacked node-fstream:all 0.1.24-1
2019-02-14 21:13:20 status unpacked node-fstream:all 0.1.24-1
2019-02-14 21:13:21 install node-lru-cache:all <none> 2.3.1-1
2019-02-14 21:13:21 status half-installed node-lru-cache:all 2.3.1-1
2019-02-14 21:13:21 status unpacked node-lru-cache:all 2.3.1-1
2019-02-14 21:13:21 status unpacked node-lru-cache:all 2.3.1-1
2019-02-14 21:13:21 install node-sigmund:all <none> 1.0.0-1
2019-02-14 21:13:21 status half-installed node-sigmund:all 1.0.0-1
2019-02-14 21:13:22 status unpacked node-sigmund:all 1.0.0-1
2019-02-14 21:13:22 status unpacked node-sigmund:all 1.0.0-1
2019-02-14 21:13:22 install node-minimatch:all <none> 1.0.0-1
2019-02-14 21:13:22 status half-installed node-minimatch:all 1.0.0-1
2019-02-14 21:13:22 status unpacked node-minimatch:all 1.0.0-1
2019-02-14 21:13:23 status unpacked node-minimatch:all 1.0.0-1
2019-02-14 21:13:23 install node-fstream-ignore:all <none> 0.0.6-2
2019-02-14 21:13:23 status half-installed node-fstream-ignore:all 0.0.6-2
2019-02-14 21:13:23 status unpacked node-fstream-ignore:all 0.0.6-2
2019-02-14 21:13:24 status unpacked node-fstream-ignore:all 0.0.6-2
2019-02-14 21:13:24 install node-github-url-from-git:all <none> 1.1.1-1
2019-02-14 21:13:24 status half-installed node-github-url-from-git:all 1.1.1-1
2019-02-14 21:13:24 status unpacked node-github-url-from-git:all 1.1.1-1
2019-02-14 21:13:25 status unpacked node-github-url-from-git:all 1.1.1-1
2019-02-14 21:13:25 install node-once:all <none> 1.1.1-1
2019-02-14 21:13:25 status half-installed node-once:all 1.1.1-1
2019-02-14 21:13:25 status unpacked node-once:all 1.1.1-1
2019-02-14 21:13:26 status unpacked node-once:all 1.1.1-1
2019-02-14 21:13:26 install node-glob:all <none> 4.0.5-1
2019-02-14 21:13:26 status half-installed node-glob:all 4.0.5-1
2019-02-14 21:13:26 status unpacked node-glob:all 4.0.5-1
2019-02-14 21:13:27 status unpacked node-glob:all 4.0.5-1
2019-02-14 21:13:27 install nodejs-dev:amd64 <none> 0.10.29~dfsg-2
2019-02-14 21:13:27 status half-installed nodejs-dev:amd64 0.10.29~dfsg-2
2019-02-14 21:13:27 status unpacked nodejs-dev:amd64 0.10.29~dfsg-2
2019-02-14 21:13:28 status unpacked nodejs-dev:amd64 0.10.29~dfsg-2
2019-02-14 21:13:28 install node-nopt:all <none> 3.0.1-1
2019-02-14 21:13:28 status half-installed node-nopt:all 3.0.1-1
2019-02-14 21:13:29 status unpacked node-nopt:all 3.0.1-1
2019-02-14 21:13:29 status unpacked node-nopt:all 3.0.1-1
2019-02-14 21:13:29 install node-npmlog:all <none> 0.0.4-1
2019-02-14 21:13:29 status half-installed node-npmlog:all 0.0.4-1
2019-02-14 21:13:29 status unpacked node-npmlog:all 0.0.4-1
2019-02-14 21:13:30 status unpacked node-npmlog:all 0.0.4-1
2019-02-14 21:13:30 install node-osenv:all <none> 0.1.0-1
2019-02-14 21:13:30 status half-installed node-osenv:all 0.1.0-1
2019-02-14 21:13:30 status unpacked node-osenv:all 0.1.0-1
2019-02-14 21:13:30 status unpacked node-osenv:all 0.1.0-1
2019-02-14 21:13:31 install node-tunnel-agent:all <none> 0.3.1-1
2019-02-14 21:13:31 status half-installed node-tunnel-agent:all 0.3.1-1
2019-02-14 21:13:31 status unpacked node-tunnel-agent:all 0.3.1-1
2019-02-14 21:13:31 status unpacked node-tunnel-agent:all 0.3.1-1
2019-02-14 21:13:32 install node-json-stringify-safe:all <none> 5.0.0-1
2019-02-14 21:13:32 status half-installed node-json-stringify-safe:all 5.0.0-1
2019-02-14 21:13:32 status unpacked node-json-stringify-safe:all 5.0.0-1
2019-02-14 21:13:32 status unpacked node-json-stringify-safe:all 5.0.0-1
2019-02-14 21:13:33 install node-qs:all <none> 2.2.4-1
2019-02-14 21:13:33 status half-installed node-qs:all 2.2.4-1
2019-02-14 21:13:33 status unpacked node-qs:all 2.2.4-1
2019-02-14 21:13:33 status unpacked node-qs:all 2.2.4-1
2019-02-14 21:13:34 install node-request:all <none> 2.26.1-1
2019-02-14 21:13:34 status half-installed node-request:all 2.26.1-1
2019-02-14 21:13:34 status unpacked node-request:all 2.26.1-1
2019-02-14 21:13:34 status unpacked node-request:all 2.26.1-1
2019-02-14 21:13:34 install node-semver:all <none> 2.1.0-2
2019-02-14 21:13:34 status half-installed node-semver:all 2.1.0-2
2019-02-14 21:13:35 status unpacked node-semver:all 2.1.0-2
2019-02-14 21:13:35 status unpacked node-semver:all 2.1.0-2
2019-02-14 21:13:35 install node-tar:all <none> 0.1.18-1
2019-02-14 21:13:35 status half-installed node-tar:all 0.1.18-1
2019-02-14 21:13:36 status unpacked node-tar:all 0.1.18-1
2019-02-14 21:13:36 status unpacked node-tar:all 0.1.18-1
2019-02-14 21:13:36 install node-which:all <none> 1.0.5-2
2019-02-14 21:13:36 status half-installed node-which:all 1.0.5-2
2019-02-14 21:13:37 status unpacked node-which:all 1.0.5-2
2019-02-14 21:13:37 status unpacked node-which:all 1.0.5-2
2019-02-14 21:13:37 install node-gyp:all <none> 0.12.2+ds-1
2019-02-14 21:13:37 status half-installed node-gyp:all 0.12.2+ds-1
2019-02-14 21:13:37 status unpacked node-gyp:all 0.12.2+ds-1
2019-02-14 21:13:38 status unpacked node-gyp:all 0.12.2+ds-1
2019-02-14 21:13:38 install node-ini:all <none> 1.1.0-1
2019-02-14 21:13:38 status half-installed node-ini:all 1.1.0-1
2019-02-14 21:13:38 status unpacked node-ini:all 1.1.0-1
2019-02-14 21:13:38 status unpacked node-ini:all 1.1.0-1
2019-02-14 21:13:39 install node-lockfile:all <none> 0.4.1-1
2019-02-14 21:13:39 status half-installed node-lockfile:all 0.4.1-1
2019-02-14 21:13:39 status unpacked node-lockfile:all 0.4.1-1
2019-02-14 21:13:39 status unpacked node-lockfile:all 0.4.1-1
2019-02-14 21:13:40 install node-mute-stream:all <none> 0.0.4-1
2019-02-14 21:13:40 status half-installed node-mute-stream:all 0.0.4-1
2019-02-14 21:13:40 status unpacked node-mute-stream:all 0.0.4-1
2019-02-14 21:13:40 status unpacked node-mute-stream:all 0.0.4-1
2019-02-14 21:13:41 install node-normalize-package-data:all <none> 0.2.2-1
2019-02-14 21:13:41 status half-installed node-normalize-package-data:all 0.2.2-1
2019-02-14 21:13:41 status unpacked node-normalize-package-data:all 0.2.2-1
2019-02-14 21:13:41 status unpacked node-normalize-package-data:all 0.2.2-1
2019-02-14 21:13:41 install node-read:all <none> 1.0.5-1
2019-02-14 21:13:41 status half-installed node-read:all 1.0.5-1
2019-02-14 21:13:42 status unpacked node-read:all 1.0.5-1
2019-02-14 21:13:42 status unpacked node-read:all 1.0.5-1
2019-02-14 21:13:42 install node-read-package-json:all <none> 1.2.4-1
2019-02-14 21:13:42 status half-installed node-read-package-json:all 1.2.4-1
2019-02-14 21:13:43 status unpacked node-read-package-json:all 1.2.4-1
2019-02-14 21:13:43 status unpacked node-read-package-json:all 1.2.4-1
