Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hemovida,Chrome 72.0.3626.96,,2019-02-11 12:43:13,2019-02-11 12:43:19,6.198s,ERROR
,,,,,,
Test Cases/Login,Chrome 72.0.3626.96,,2019-02-11 12:43:13,2019-02-11 12:43:19,5.774s,ERROR
"openBrowser(""http://hemovida.desenvolvimento.saude.gov/"")",Chrome 72.0.3626.96,,2019-02-11 12:43:14,2019-02-11 12:43:19,4.882s,PASSED
driver = getWebDriver(),Chrome 72.0.3626.96,,2019-02-11 12:43:19,2019-02-11 12:43:19,0.020s,PASSED
"baseUrl = ""http://hemovida.desenvolvimento.saude.gov/""",Chrome 72.0.3626.96,,2019-02-11 12:43:19,2019-02-11 12:43:19,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 72.0.3626.96,,2019-02-11 12:43:19,2019-02-11 12:43:19,0.095s,PASSED
"selenium.click(""//a[4]/img"")",Chrome 72.0.3626.96,,2019-02-11 12:43:19,2019-02-11 12:43:19,0.102s,ERROR
